run_id,seed,pair,variant,host_event_count,mediation_invocations,interruption_count,effect_count,final_output,native_elapsed_us,oram_accesses,dummy_fraction,structural_signature
s0-p12-v0-b1,0,12,B0-NATURAL,6,2,1,1,completed,4709.7,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""APPROVAL_INTERRUPTION"",0,0],[3,""RUNTIME_BOUNDARY"",""LOCAL_APPROVAL_DECISION"",0,0],[4,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[5,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[6,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p13-v0-b0,0,13,B0-NATURAL,3,1,0,1,completed,1985.9,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[3,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p13-v0-b1,0,13,B0-NATURAL,6,2,1,1,completed,3162.6,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""APPROVAL_INTERRUPTION"",0,0],[3,""RUNTIME_BOUNDARY"",""LOCAL_APPROVAL_DECISION"",0,0],[4,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[5,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[6,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p14-v0-b0,0,14,B0-NATURAL,3,1,0,1,completed,1978.9,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[3,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p14-v0-b1,0,14,B0-NATURAL,6,2,1,1,completed,3098.1,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""APPROVAL_INTERRUPTION"",0,0],[3,""RUNTIME_BOUNDARY"",""LOCAL_APPROVAL_DECISION"",0,0],[4,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[5,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[6,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p15-v0-b0,0,15,B0-NATURAL,3,1,0,1,completed,2000.4,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[3,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p15-v0-b1,0,15,B0-NATURAL,6,2,1,1,completed,3217.0,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""APPROVAL_INTERRUPTION"",0,0],[3,""RUNTIME_BOUNDARY"",""LOCAL_APPROVAL_DECISION"",0,0],[4,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[5,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[6,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p16-v0-b0,0,16,B0-NATURAL,3,1,0,1,completed,1998.2,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[3,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p16-v0-b1,0,16,B0-NATURAL,6,2,1,1,completed,3351.6,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""APPROVAL_INTERRUPTION"",0,0],[3,""RUNTIME_BOUNDARY"",""LOCAL_APPROVAL_DECISION"",0,0],[4,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[5,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[6,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p17-v0-b0,0,17,B0-NATURAL,3,1,0,1,completed,1963.2,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[3,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
s0-p17-v0-b1,0,17,B0-NATURAL,6,2,1,1,completed,3287.3,0,0.0,"[[1,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[2,""RUNTIME_BOUNDARY"",""APPROVAL_INTERRUPTION"",0,0],[3,""RUNTIME_BOUNDARY"",""LOCAL_APPROVAL_DECISION"",0,0],[4,""RUNTIME_BOUNDARY"",""MEDIATION_INVOCATION"",0,0],[5,""RUNTIME_BOUNDARY"",""PUBLIC_EFFECT_COMMIT"",0,0],[6,""RUNTIME_BOUNDARY"",""SANITIZED_RESULT"",0,0]]"
