scenario,variant,feature_level,split,metric,mean,std,chance,permutation_mean,permutation_std
EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_task,macro_f1,1.0,0.0,0.5,0.47281515533996765,0.010817028792774233
EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_task,roc_auc,1.0,0.0,0.5,0.504704113912644,0.0028756291540785184
EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,grouped_entity,accuracy,1.0,0.0,0.5,0.4785751028806584,0.01889369749931669
EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,grouped_entity,macro_f1,1.0,0.0,0.5,0.4716813740558367,0.019768581727161765
EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,grouped_entity,roc_auc,1.0,0.0,0.5,0.48466458750104796,0.014275132020014908
EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_policy,accuracy,1.0,0.0,0.5,0.506583954806994,0.006006439871684229
EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_policy,macro_f1,1.0,0.0,0.5,0.4996819987279677,0.007816663846125378
EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_policy,roc_auc,1.0,0.0,0.5,0.5035741025942311,0.012658682466808005
EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_task,accuracy,1.0,0.0,0.5,0.5092013888888889,0.004684283876122261
EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_task,macro_f1,1.0,0.0,0.5,0.47281515533996765,0.010817028792774233
EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_task,roc_auc,1.0,0.0,0.5,0.504704113912644,0.0028756291540785184
EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,grouped_entity,accuracy,1.0,0.0,0.5,0.4785751028806584,0.01889369749931669
EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,grouped_entity,macro_f1,1.0,0.0,0.5,0.4716813740558367,0.019768581727161765
EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,grouped_entity,roc_auc,1.0,0.0,0.5,0.48466458750104796,0.014275132020014908
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,1.0,0.0,0.5,0.4997721845148316,0.0040739595356616915
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,1.0,0.0,0.5,0.4928864185815663,0.003952311232978305
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,1.0,0.0,0.5,0.5087743347412826,0.014670199223379641
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,1.0,0.0,0.5,0.4918402777777778,0.006874649261535899
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,1.0,0.0,0.5,0.4903008105118146,0.006738309943420575
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,1.0,0.0,0.5,0.48899471437078934,0.01160572062111307
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,1.0,0.0,0.5,0.47175925925925927,0.002603714142971978
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,1.0,0.0,0.5,0.46882739469944823,0.003426839796918934
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,1.0,0.0,0.5,0.4746948944603385,0.02128925426692474
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,accuracy,1.0,0.0,0.5,0.5067882031730071,0.005720167618994136
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,macro_f1,1.0,0.0,0.5,0.5012750457411768,0.006591333300175214
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_policy,roc_auc,1.0,0.0,0.5,0.5058656819321723,0.011359017727919994
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,accuracy,1.0,0.0,0.5,0.5092013888888889,0.004684283876122261
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,macro_f1,1.0,0.0,0.5,0.47281515533996765,0.010817028792774233
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,cross_task,roc_auc,1.0,0.0,0.5,0.504704113912644,0.0028756291540785184
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,accuracy,1.0,0.0,0.5,0.48348765432098767,0.01755781343099912
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,macro_f1,1.0,0.0,0.5,0.4783174603173316,0.018245388695473437
EXTRA_VERIFICATION,B1-PER-ACTION-OBLIVIOUS,STRUCTURAL,grouped_entity,roc_auc,1.0,0.0,0.5,0.4874661262263295,0.009789096874074634
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,0.5234204793028322,0.02350266776731093,0.5,0.49993191721132896,0.0029188386587998285
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,0.5200015980425289,0.021982547405992814,0.5,0.4886561079717238,0.00027836954148124465
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,0.5286508736503931,0.07010671409745087,0.5,0.5107745746032095,0.01021086798949011
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,0.5041666666666667,0.06152009608430582,0.5,0.5039930555555555,0.007717399573226687
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,0.4985734370438935,0.05698100266449869,0.5,0.5022981266196679,0.008159030398435482
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,0.5279166666666667,0.05010752327633932,0.5,0.5044148988377876,0.0023174604306170302
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,accuracy,0.47962962962962963,0.06733207023221424,0.5,0.5018004115226338,0.008599924638529072
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,macro_f1,0.47774255411016003,0.06661659875776532,0.5,0.49848020324013753,0.008736204138388529
EXTRA_VERIFICATION,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,grouped_entity,roc_auc,0.48288180155464105,0.05925413937140275,0.5,0.5143638440832231,0.011841992733028116
