seed,scenario,variant,feature_level,split,metric,value,chance,permutation
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,accuracy,0.5,0.5,0.4766260162601626
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,macro_f1,0.4993298585256888,0.5,0.4648188393830677
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_policy,roc_auc,0.5107079119571684,0.5,0.48058426734087883
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,accuracy,0.475,0.5,0.484375
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,macro_f1,0.475,0.5,0.48216086649765744
0,PROVENANCE,B2-ADAPTIVE-OBLIVIOUS,FULL_ORAM,cross_task,roc_auc,0.43625,0.5,0.485039708826053
0,EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,grouped_entity,accuracy,1.0,0.5,0.470679012345679
0,EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,grouped_entity,macro_f1,1.0,0.5,0.46467051767591805
0,EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,grouped_entity,roc_auc,1.0,0.5,0.4863107744769393
0,EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_policy,accuracy,1.0,0.5,0.5098379629629629
0,EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_policy,macro_f1,1.0,0.5,0.503040933625234
0,EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_policy,roc_auc,1.0,0.5,0.508395166172324
0,EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_task,accuracy,1.0,0.5,0.5026041666666666
0,EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_task,macro_f1,1.0,0.5,0.46441194437274524
0,EXTRA_VERIFICATION,B0-NATURAL,STRUCTURAL,cross_task,roc_auc,1.0,0.5,0.5006373603957903
0,EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,grouped_entity,accuracy,1.0,0.5,0.470679012345679
0,EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,grouped_entity,macro_f1,1.0,0.5,0.46467051767591805
0,EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,grouped_entity,roc_auc,1.0,0.5,0.4863107744769393
0,EXTRA_VERIFICATION,B0-NATURAL,FULL_ORAM,cross_policy,accuracy,1.0,0.5,0.5098379629629629
