regime,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
L,UNIFIED-PACKED,pass,3.0,3.0,432.0,432.0,1769472.0,4294950912,299444,24576,324020,0,3,3,54.0,14.124084051724138,394.9714285714286,packed-pages:74861,packed:4096,unified-packed:17
L,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,720.0,720.0,2949120.0,4294836224,898332,24576,922908,0,6,6,108.0,14.123706896551724,658.2857142857143,packed-pages:74861,packed:4096,8 partitions:14
L,HYBRID-P,pass,3,3,424,154.0,630784,2415901696,786432,24576,2908160,0.3333333333333333,3,2,54,7.944770339439655,140.8,data:65536;hist:131072,data:4096;hist:256,data:16;hist:17
L,HYBRID-PH,pass,1,1,136,136.0,557056,2147467264,262144,24576,35938304,0.5,1,1,18,7.062015086206896,124.34285714285714,data:65536,data:4096,data:16
L,SCAN-PERMISSION,pass,3,3,424,666.0,2727936,2417998848,786432,24576,811008,0.25,3,3,54,7.951666891163793,608.9142857142857,data:65536;hist:131072;perm-scan:16384,data:4096;hist:256;perm:128,data:16;hist:17;perm:scan
L,SCAN-HISTORY,pass,2,2,256,16523.75,67681280,2197798400,327680,24576,352256,0.3333333333333333,2,3,36,7.227530643857759,15107.42857142857,data:65536;perm:16384;hist-scan:131072,data:4096;perm:128;hist:256,data:16;perm:14;hist:scan
L,SCAN-BOTH,pass,1,1,136,17032.0,69763072,2183118848,262144,24576,286720,0.3333333333333333,1,3,18,7.179256465517241,15572.114285714286,data:65536;perm-scan:16384;hist-scan:131072,data:4096;perm:128;hist:256,data:16;perm:scan;hist:scan
H,MODULAR-ORAM,leak,3,3,316.0,81.0,331776.0,2164767232,296960,24576,321536,0,3,3,54,7.999933776338096,74.05714285714286,data:65536;perm:512;hist:8192,data:4096;perm:128;hist:256,data:16;perm:9;hist:13
H,NAIVE-FIXED,pass,4,4,440,152.5,624640,2164767232,296960,24576,321792,0.25,4,3,72,7.999933776338096,139.42857142857142,data:65536;perm:512;hist:8192,data:4096;perm:128;hist:256,data:16;perm:9;hist:13
H,CANONICAL-MODULAR,pass,4,4,440,152.5,624640,2164767232,296960,24576,321792,0.25,4,3,72,7.999933776338096,139.42857142857142,data:65536;perm:512;hist:8192,data:4096;perm:128;hist:256,data:16;perm:9;hist:13
H,UNIFIED-FIXED,pass,3,3,432,432.0,1769472,4294950912,296960,24576,321536,0,3,3,54,15.872063453620731,394.9714285714286,unified:74240,unified:4096,unified:17
H,UNIFIED-PACKED,pass,3.0,3.0,432.0,432.0,1769472.0,4294950912,264408,24576,288984,0,3,3,54.0,15.872063453620731,394.9714285714286,packed-pages:66102,packed:4096,unified-packed:17
H,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,720.0,720.0,2949120.0,4294836224,793224,24576,817800,0,6,6,108.0,15.871639622184547,658.2857142857143,packed-pages:66102,packed:4096,8 partitions:14
H,HYBRID-P,pass,3,3,360,150.0,614400,2164243456,294912,24576,385024,0.3333333333333333,3,2,54,7.997998153305885,137.14285714285714,data:65536;hist:8192,data:4096;hist:256,data:16;hist:13
H,HYBRID-PH,pass,1,1,136,136.0,557056,2147467264,262144,24576,2449408,0.5,1,1,18,7.9360014531363525,124.34285714285714,data:65536,data:4096,data:16
H,SCAN-PERMISSION,pass,3,3,360,166.0,679936,2164308992,294912,24576,319488,0.25,3,3,54,7.99824034269799,151.77142857142857,data:65536;hist:8192;perm-scan:512,data:4096;hist:256;perm:128,data:16;hist:13;perm:scan
H,SCAN-HISTORY,pass,2,2,216,1162.5,4761600,2150088192,264192,24576,288768,0.3333333333333333,2,3,36,7.945687136715912,1062.857142857143,data:65536;perm:512;hist-scan:8192,data:4096;perm:128;hist:256,data:16;perm:9;hist:scan
H,SCAN-BOTH,pass,1,1,136,1176.0,4816896,2149629952,262144,24576,286720,0.3333333333333333,1,3,18,7.943993703075805,1075.2,data:65536;perm-scan:512;hist-scan:8192,data:4096;perm:128;hist:256,data:16;perm:scan;hist:scan
