data_record_bytes,permission_record_bytes,history_record_bytes,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
512,128,64,UNIFIED-PACKED,pass,3.0,3.0,288.0,288.0,1179648.0,67092480,5156,3072,8228,0,3,3,54.0,14.625,1675.6363636363637,packed-pages:1289,packed:4096,unified-packed:11
512,128,64,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,432.0,432.0,1769472.0,66977792,15468,3072,18540,0,6,6,108.0,14.6,2513.4545454545455,packed-pages:1289,packed:4096,8 partitions:8
512,128,64,HYBRID-P,pass,3,3,320,17.25,70656,35649280,49152,3072,183296,0.3333333333333333,3,2,54,7.770926339285714,100.36363636363636,data:8192;hist:4096,data:512;hist:64,data:13;hist:12
512,128,64,HYBRID-PH,pass,1,1,112,14.0,57344,33552384,32768,3072,429056,0.5,1,1,18,7.313839285714286,81.45454545454545,data:8192,data:512,data:13
512,128,64,SCAN-PERMISSION,pass,3,3,320,49.25,201728,35780352,49152,3072,52224,0.25,3,3,54,7.799497767857143,286.54545454545456,data:8192;hist:4096;perm-scan:1024,data:512;hist:64;perm:128,data:13;hist:12;perm:scan
512,128,64,SCAN-HISTORY,pass,2,2,200,144.75,592896,34862592,36864,3072,39936,0.3333333333333333,2,3,36,7.599441964285714,842.1818181818181,data:8192;perm:1024;hist-scan:4096,data:512;perm:128;hist:64,data:13;perm:10;hist:scan
512,128,64,SCAN-BOTH,pass,1,1,112,174.0,712704,33945600,32768,3072,35840,0.3333333333333333,1,3,18,7.399553571428571,1012.3636363636364,data:8192;perm-scan:1024;hist-scan:4096,data:512;perm:128;hist:64,data:13;perm:scan;hist:scan
512,128,256,MODULAR-ORAM,leak,3,3,300.0,19.5,79872.0,42988032,53248,3072,56320,0,3,3,54,7.999333079268292,89.14285714285714,data:8192;perm:1024;hist:4096,data:512;perm:128;hist:256,data:13;perm:10;hist:12
512,128,256,NAIVE-FIXED,pass,4,4,408,29.75,121856,42988032,53248,3072,56576,0.25,4,3,72,7.999333079268292,136.0,data:8192;perm:1024;hist:4096,data:512;perm:128;hist:256,data:13;perm:10;hist:12
512,128,256,CANONICAL-MODULAR,pass,4,4,408,29.75,121856,42988032,53248,3072,56576,0.25,4,3,72,7.999333079268292,136.0,data:8192;perm:1024;hist:4096,data:512;perm:128;hist:256,data:13;perm:10;hist:12
512,128,256,UNIFIED-FIXED,pass,3,3,360,45.0,184320,67106816,53248,3072,56320,0,3,3,54,12.487423780487806,205.71428571428572,unified:13312,unified:512,unified:14
512,128,256,UNIFIED-PACKED,pass,3.0,3.0,288.0,288.0,1179648.0,67092480,5928,3072,9000,0,3,3,54.0,12.484756097560975,1316.5714285714287,packed-pages:1482,packed:4096,unified-packed:11
512,128,256,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,432.0,432.0,1769472.0,66977792,17784,3072,20856,0,6,6,108.0,12.463414634146341,1974.857142857143,packed-pages:1482,packed:4096,8 partitions:8
512,128,256,HYBRID-P,pass,3,3,320,27.0,110592,41939968,49152,3072,183296,0.3333333333333333,3,2,54,7.804306402439025,123.42857142857143,data:8192;hist:4096,data:512;hist:256,data:13;hist:12
512,128,256,HYBRID-PH,pass,1,1,112,14.0,57344,33552384,32768,3072,1215488,0.5,1,1,18,6.243521341463414,64.0,data:8192,data:512,data:13
512,128,256,SCAN-PERMISSION,pass,3,3,320,59.0,241664,42071040,49152,3072,52224,0.25,3,3,54,7.828696646341464,269.7142857142857,data:8192;hist:4096;perm-scan:1024,data:512;hist:256;perm:128,data:13;hist:12;perm:scan
512,128,256,SCAN-HISTORY,pass,2,2,200,528.75,2165760,35649024,36864,3072,39936,0.3333333333333333,2,3,36,6.633669969512195,2417.1428571428573,data:8192;perm:1024;hist-scan:4096,data:512;perm:128;hist:256,data:13;perm:10;hist:scan
512,128,256,SCAN-BOTH,pass,1,1,112,558.0,2285568,34732032,32768,3072,35840,0.3333333333333333,1,3,18,6.463033536585366,2550.8571428571427,data:8192;perm-scan:1024;hist-scan:4096,data:512;perm:128;hist:256,data:13;perm:scan;hist:scan
512,128,1024,MODULAR-ORAM,leak,3,3,300.0,48.75,199680.0,68150784,53248,6144,59392,0,3,3,54,7.99921875,120.0,data:8192;perm:1024;hist:4096,data:512;perm:128;hist:1024,data:13;perm:10;hist:12
512,128,1024,NAIVE-FIXED,pass,4,4,408,68.75,281600,68150784,53248,6144,59648,0.25,4,3,72,7.99921875,169.23076923076923,data:8192;perm:1024;hist:4096,data:512;perm:128;hist:1024,data:13;perm:10;hist:12
512,128,1024,CANONICAL-MODULAR,pass,4,4,408,68.75,281600,68150784,53248,6144,59648,0.25,4,3,72,7.99921875,169.23076923076923,data:8192;perm:1024;hist:4096,data:512;perm:128;hist:1024,data:13;perm:10;hist:12
512,128,1024,UNIFIED-FIXED,pass,3,3,360,90.0,368640,134213632,53248,6144,59392,0,3,3,54,15.753365384615385,221.53846153846155,unified:13312,unified:1024,unified:14
512,128,1024,UNIFIED-PACKED,pass,3.0,3.0,312.0,312.0,1277952.0,134201344,10296,6144,16440,0,3,3,54.0,15.751923076923077,768.0,packed-pages:2574,packed:4096,unified-packed:12
512,128,1024,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,480.0,480.0,1966080.0,134086656,30888,6144,37032,0,6,6,108.0,15.738461538461538,1181.5384615384614,packed-pages:2574,packed:4096,8 partitions:9
512,128,1024,HYBRID-P,pass,3,3,320,66.0,270336,67102720,49152,6144,186368,0.3333333333333333,3,2,54,7.876201923076923,162.46153846153845,data:8192;hist:4096,data:512;hist:1024,data:13;hist:12
512,128,1024,HYBRID-PH,pass,1,1,112,14.0,57344,33552384,32768,6144,4364288,0.5,1,1,18,3.938221153846154,34.46153846153846,data:8192,data:512,data:13
512,128,1024,SCAN-PERMISSION,pass,3,3,320,98.0,401408,67233792,49152,6144,55296,0.25,3,3,54,7.891586538461539,241.23076923076923,data:8192;hist:4096;perm-scan:1024,data:512;hist:1024;perm:128,data:13;hist:12;perm:scan
512,128,1024,SCAN-HISTORY,pass,2,2,200,2064.75,8457216,38794752,36864,6144,43008,0.3333333333333333,2,3,36,4.553545673076923,5082.461538461538,data:8192;perm:1024;hist-scan:4096,data:512;perm:128;hist:1024,data:13;perm:10;hist:scan
512,128,1024,SCAN-BOTH,pass,1,1,112,2094.0,8577024,37877760,32768,6144,38912,0.3333333333333333,1,3,18,4.445913461538462,5154.461538461538,data:8192;perm-scan:1024;hist-scan:4096,data:512;perm:128;hist:1024,data:13;perm:scan;hist:scan
512,256,64,MODULAR-ORAM,leak,3,3,300.0,14.9375,61184.0,37745408,53248,3072,56320,0,3,3,54,7.999294704861111,73.53846153846153,data:8192;perm:1024;hist:4096,data:512;perm:256;hist:64,data:13;perm:10;hist:12
512,256,64,NAIVE-FIXED,pass,4,4,408,22.75,93184,37745408,53248,3072,56576,0.25,4,3,72,7.999294704861111,112.0,data:8192;perm:1024;hist:4096,data:512;perm:256;hist:64,data:13;perm:10;hist:12
512,256,64,CANONICAL-MODULAR,pass,4,4,408,22.75,93184,37745408,53248,3072,56576,0.25,4,3,72,7.999294704861111,112.0,data:8192;perm:1024;hist:4096,data:512;perm:256;hist:64,data:13;perm:10;hist:12
512,256,64,UNIFIED-FIXED,pass,3,3,360,45.0,184320,67106816,53248,3072,56320,0,3,3,54,14.221788194444445,221.53846153846155,unified:13312,unified:512,unified:14
512,256,64,UNIFIED-PACKED,pass,3.0,3.0,288.0,288.0,1179648.0,67092480,5284,3072,8356,0,3,3,54.0,14.21875,1417.8461538461538,packed-pages:1321,packed:4096,unified-packed:11
