history_records,architecture,privacy,logical_accesses,physical_paths,physical_blocks,physical_blocks_4k_equiv,bytes_action,tree_storage_bytes,position_map_bytes,stash_bytes,trusted_state_bytes,dummy_fraction,rounds_serial,rounds_parallel,local_compute_us,storage_amplification,read_write_amplification,logical_block_counts,block_sizes,tree_heights
4096,SCAN-HISTORY,pass,2,2,200,626.75,2567168,270515712,36864,24576,61440,0.3333333333333333,2,3,36,7.7881928066037736,573.0285714285715,data:8192;perm:1024;hist-scan:4096,data:4096;perm:128;hist:256,data:13;perm:10;hist:scan
4096,SCAN-BOTH,pass,1,1,112,656.0,2686976,269598720,32768,24576,57344,0.3333333333333333,1,3,18,7.761792452830188,599.7714285714286,data:8192;perm-scan:1024;hist-scan:4096,data:4096;perm:128;hist:256,data:13;perm:scan;hist:scan
16384,MODULAR-ORAM,leak,3,3,324.0,70.0,286720.0,303020544,102400,24576,126976,0,3,3,54,7.9995269247404845,64.0,data:8192;perm:1024;hist:16384,data:4096;perm:128;hist:256,data:13;perm:10;hist:14
16384,NAIVE-FIXED,pass,4,4,440,129.75,531456,303020544,102400,24576,127232,0.25,4,3,72,7.9995269247404845,118.62857142857143,data:8192;perm:1024;hist:16384,data:4096;perm:128;hist:256,data:13;perm:10;hist:14
16384,CANONICAL-MODULAR,pass,4,4,440,129.75,531456,303020544,102400,24576,127232,0.25,4,3,72,7.9995269247404845,118.62857142857143,data:8192;perm:1024;hist:16384,data:4096;perm:128;hist:256,data:13;perm:10;hist:14
16384,UNIFIED-FIXED,pass,3,3,384,384.0,1572864,1073725440,102400,24576,126976,0,3,3,54,28.345588235294116,351.0857142857143,unified:25600,unified:4096,unified:15
16384,UNIFIED-PACKED,pass,3.0,3.0,360.0,360.0,1474560.0,536854528,37288,24576,61864,0,3,3,54.0,14.17257785467128,329.14285714285717,packed-pages:9322,packed:4096,unified-packed:14
16384,RANDOMIZED-PARTITION,not_implemented,3.0,6.0,576.0,576.0,2359296.0,536739840,111864,24576,136440,0,6,6,108.0,14.16955017301038,526.6285714285714,packed-pages:9322,packed:4096,8 partitions:11
16384,HYBRID-P,pass,3,3,352,127.0,520192,301972480,98304,24576,253952,0.3333333333333333,3,2,54,7.971858780276817,116.11428571428571,data:8192;hist:16384,data:4096;hist:256,data:13;hist:14
16384,HYBRID-PH,pass,1,1,112,112.0,458752,268419072,32768,24576,4382720,0.5,1,1,18,7.086072664359862,102.4,data:8192,data:4096,data:13
16384,SCAN-PERMISSION,pass,3,3,352,159.0,651264,302103552,98304,24576,122880,0.25,3,3,54,7.975318987889273,145.37142857142857,data:8192;hist:16384;perm-scan:1024,data:4096;hist:256;perm:128,data:13;hist:14;perm:scan
16384,SCAN-HISTORY,pass,2,2,200,2162.75,8858624,273661440,36864,24576,61440,0.3333333333333333,2,3,36,7.224467452422146,1977.3714285714286,data:8192;perm:1024;hist-scan:16384,data:4096;perm:128;hist:256,data:13;perm:10;hist:scan
