dataset,architecture,feature,split,metric,mean,std,chance,permutation_mean,permutation_std
natural_balanced,MODULAR-V2-PAD,F1,random,accuracy,1.0,0.0,0.5,0.5013888888888889,0.00856168611523468
natural_balanced,MODULAR-V2-PAD,F1,random,roc_auc,1.0,0.0,0.5,0.5013888888888889,0.00856168611523468
natural_balanced,MODULAR-V2-PAD,F2,random,accuracy,1.0,0.0,0.5,0.4981481481481481,0.011188005531106071
natural_balanced,MODULAR-V2-PAD,F2,random,roc_auc,1.0,0.0,0.5,0.4981481481481481,0.011188005531106071
natural_balanced,MODULAR-V2-PAD,F3,random,accuracy,1.0,0.0,0.5,0.4981481481481481,0.011188005531106071
natural_balanced,MODULAR-V2-PAD,F3,random,roc_auc,1.0,0.0,0.5,0.4981481481481481,0.011188005531106071
natural_balanced,MODULAR-V2-PAD,F4,random,accuracy,1.0,0.0,0.5,0.4935185185185185,0.0017322487901731346
natural_balanced,MODULAR-V2-PAD,F4,random,roc_auc,1.0,0.0,0.5,0.4935185185185185,0.0017322487901731346
natural_balanced,MODULAR-V2-PAD,F5,random,accuracy,1.0,0.0,0.5,0.5138888888888888,0.015754351414049583
natural_balanced,MODULAR-V2-PAD,F5,random,roc_auc,1.0,0.0,0.5,0.5138888888888888,0.015754351414049583
natural_balanced,MODULAR-V3,F0,random,accuracy,0.5041666666666667,0.008857002995235664,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,MODULAR-V3,F0,random,roc_auc,0.5,0.0,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,MODULAR-V3,F1,random,accuracy,0.5041666666666667,0.008857002995235664,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,MODULAR-V3,F1,random,roc_auc,0.5,0.0,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,MODULAR-V3,F2,random,accuracy,0.5041666666666667,0.008857002995235664,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,MODULAR-V3,F2,random,roc_auc,0.5,0.0,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,MODULAR-V3,F3,random,accuracy,0.5041666666666667,0.008857002995235664,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,MODULAR-V3,F3,random,roc_auc,0.5,0.0,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,MODULAR-V3,F4,random,accuracy,0.5041666666666667,0.008857002995235664,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,MODULAR-V3,F4,random,roc_auc,0.5,0.0,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,MODULAR-V3,F5,random,accuracy,0.4962962962962963,0.011471770086448011,0.5,0.499537037037037,0.012644907670136705
natural_balanced,MODULAR-V3,F5,random,roc_auc,0.480114849697287,0.011728528644687302,0.5,0.499537037037037,0.012644907670136705
natural_balanced,V2-UNIFIED,F0,random,accuracy,1.0,0.0,0.5,0.49166666666666664,0.006804138174397715
natural_balanced,V2-UNIFIED,F0,random,roc_auc,1.0,0.0,0.5,0.49166666666666664,0.006804138174397715
natural_balanced,V2-UNIFIED,F1,random,accuracy,1.0,0.0,0.5,0.49166666666666664,0.006804138174397715
natural_balanced,V2-UNIFIED,F1,random,roc_auc,1.0,0.0,0.5,0.49166666666666664,0.006804138174397715
natural_balanced,V2-UNIFIED,F2,random,accuracy,1.0,0.0,0.5,0.49166666666666664,0.006804138174397715
natural_balanced,V2-UNIFIED,F2,random,roc_auc,1.0,0.0,0.5,0.49166666666666664,0.006804138174397715
natural_balanced,V2-UNIFIED,F3,random,accuracy,1.0,0.0,0.5,0.49166666666666664,0.006804138174397715
natural_balanced,V2-UNIFIED,F3,random,roc_auc,1.0,0.0,0.5,0.49166666666666664,0.006804138174397715
natural_balanced,V2-UNIFIED,F4,random,accuracy,1.0,0.0,0.5,0.49166666666666664,0.006804138174397715
natural_balanced,V2-UNIFIED,F4,random,roc_auc,1.0,0.0,0.5,0.49166666666666664,0.006804138174397715
natural_balanced,V2-UNIFIED,F5,random,accuracy,1.0,0.0,0.5,0.5263888888888889,0.017123372230469367
natural_balanced,V2-UNIFIED,F5,random,roc_auc,1.0,0.0,0.5,0.5263888888888889,0.017123372230469367
natural_balanced,V2-UNIFIED-PAD,F0,random,accuracy,0.5041666666666667,0.008857002995235664,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,V2-UNIFIED-PAD,F0,random,roc_auc,0.5,0.0,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,V2-UNIFIED-PAD,F1,random,accuracy,0.5041666666666667,0.008857002995235664,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,V2-UNIFIED-PAD,F1,random,roc_auc,0.5,0.0,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,V2-UNIFIED-PAD,F2,random,accuracy,0.5041666666666667,0.008857002995235664,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,V2-UNIFIED-PAD,F2,random,roc_auc,0.5,0.0,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,V2-UNIFIED-PAD,F3,random,accuracy,0.5041666666666667,0.008857002995235664,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,V2-UNIFIED-PAD,F3,random,roc_auc,0.5,0.0,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,V2-UNIFIED-PAD,F4,random,accuracy,0.5041666666666667,0.008857002995235664,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,V2-UNIFIED-PAD,F4,random,roc_auc,0.5,0.0,0.5,0.5078703703703704,0.013094570021973109
natural_balanced,V2-UNIFIED-PAD,F5,random,accuracy,0.5064814814814815,0.013857990321384989,0.5,0.4925925925925926,0.018645398671853938
natural_balanced,V2-UNIFIED-PAD,F5,random,roc_auc,0.49811760004670985,0.019695657036404843,0.5,0.4925925925925926,0.018645398671853938
