seed,dataset,architecture,feature,split,metric,value,permutation
0,natural_balanced,MODULAR-V3,F4,random,accuracy,0.4986111111111111,0.4986111111111111
0,natural_balanced,MODULAR-V3,F4,random,roc_auc,0.5,0.4986111111111111
0,natural_balanced,MODULAR-V3,F5,random,accuracy,0.5125,0.48194444444444445
0,natural_balanced,MODULAR-V3,F5,random,roc_auc,0.4885454363073789,0.48194444444444445
0,matched,V2-UNIFIED,F0,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,V2-UNIFIED,F0,random,roc_auc,0.5,0.49166666666666664
0,matched,V2-UNIFIED,F1,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,V2-UNIFIED,F1,random,roc_auc,0.5,0.49166666666666664
0,matched,V2-UNIFIED,F2,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,V2-UNIFIED,F2,random,roc_auc,0.5,0.49166666666666664
0,matched,V2-UNIFIED,F3,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,V2-UNIFIED,F3,random,roc_auc,0.5,0.49166666666666664
0,matched,V2-UNIFIED,F4,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,V2-UNIFIED,F4,random,roc_auc,0.5,0.49166666666666664
0,matched,V2-UNIFIED,F4,grouped_recipient,accuracy,0.49427168576104746,0.45990180032733224
0,matched,V2-UNIFIED,F4,grouped_recipient,roc_auc,0.5,0.45990180032733224
0,matched,V2-UNIFIED,F5,random,accuracy,0.5,0.5319444444444444
0,matched,V2-UNIFIED,F5,random,roc_auc,0.47495273007910477,0.5319444444444444
0,natural,V2-UNIFIED,F0,random,accuracy,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F0,random,roc_auc,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F1,random,accuracy,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F1,random,roc_auc,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F2,random,accuracy,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F2,random,roc_auc,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F3,random,accuracy,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F3,random,roc_auc,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F4,random,accuracy,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F4,random,roc_auc,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F5,random,accuracy,1.0,0.8722222222222222
0,natural,V2-UNIFIED,F5,random,roc_auc,1.0,0.8722222222222222
0,natural_balanced,V2-UNIFIED,F0,random,accuracy,1.0,0.5
0,natural_balanced,V2-UNIFIED,F0,random,roc_auc,1.0,0.5
0,natural_balanced,V2-UNIFIED,F1,random,accuracy,1.0,0.5
0,natural_balanced,V2-UNIFIED,F1,random,roc_auc,1.0,0.5
0,natural_balanced,V2-UNIFIED,F2,random,accuracy,1.0,0.5
0,natural_balanced,V2-UNIFIED,F2,random,roc_auc,1.0,0.5
0,natural_balanced,V2-UNIFIED,F3,random,accuracy,1.0,0.5
0,natural_balanced,V2-UNIFIED,F3,random,roc_auc,1.0,0.5
0,natural_balanced,V2-UNIFIED,F4,random,accuracy,1.0,0.5
0,natural_balanced,V2-UNIFIED,F4,random,roc_auc,1.0,0.5
0,natural_balanced,V2-UNIFIED,F5,random,accuracy,1.0,0.5291666666666667
0,natural_balanced,V2-UNIFIED,F5,random,roc_auc,1.0,0.5291666666666667
0,matched,V2-UNIFIED-PAD,F0,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,V2-UNIFIED-PAD,F0,random,roc_auc,0.5,0.49166666666666664
0,matched,V2-UNIFIED-PAD,F1,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,V2-UNIFIED-PAD,F1,random,roc_auc,0.5,0.49166666666666664
0,matched,V2-UNIFIED-PAD,F2,random,accuracy,0.4930555555555556,0.49166666666666664
0,matched,V2-UNIFIED-PAD,F2,random,roc_auc,0.5,0.49166666666666664
