seed,dataset,architecture,accuracy,roc_auc,chance,mean_total_us,p50_total_us,p95_total_us,mean_oram_us,policy_us_per_episode,credential_us_per_episode,history_us_per_episode
2,natural_balanced,MODULAR-V2-HIST,0.48194444444444445,0.47049962921764926,0.5,835.4227083333334,784.1,1160.5,68.85750757575758,258.637875,26.44695833333334,161.51937499999943
2,matched,MODULAR-V3,0.5152777777777777,0.517738188049494,0.5,504.51079166666665,470.4,765.8,42.75778409090909,161.2249583333335,15.114416666666664,100.13679166666687
2,natural,MODULAR-V3,0.5166666666666667,0.5445334204935447,0.5,743.0140833333334,736.7,1053.9,61.583363636363636,238.1654166666669,24.117250000000002,132.04279166666666
2,natural_balanced,MODULAR-V3,0.4847222222222222,0.47316076504758375,0.5,817.94425,772.2,1080.5,67.73246212121212,253.89429166666665,24.963749999999983,158.48345833333372
2,matched,V2-UNIFIED,0.5138888888888888,0.5125703390942563,0.5,1672.5194583333334,1596.1,2262.5,146.13124242424243,572.6930833333321,141.88875000000013,304.65066666666655
2,natural,V2-UNIFIED,0.6763888888888889,0.639728713842131,0.5,1258.3520833333334,1195.2,1814.5,137.46740370898715,446.2564583333328,137.33954166666643,157.13512499999982
2,natural_balanced,V2-UNIFIED,0.5569444444444445,0.5915793783215919,0.5,1318.006,1263.6,1889.6,138.24786734181833,457.65504166666585,135.11908333333324,206.7893749999995
2,matched,V2-UNIFIED-PAD,0.5180555555555556,0.5096101149354308,0.5,1662.5804583333334,1590.7,2210.6,144.8572765151515,575.0992499999993,142.72741666666724,291.1492500000003
2,natural,V2-UNIFIED-PAD,0.4166666666666667,0.525657787220134,0.5,1522.1555416666667,1464.8,2029.7,132.44650378787878,437.5751666666677,135.24254166666677,151.97949999999983
2,natural_balanced,V2-UNIFIED-PAD,0.48055555555555557,0.47083178840687184,0.5,1554.3242083333334,1480.4,2132.1,135.0932196969697,450.8936666666668,132.69170833333334,203.64666666666685
