runtime,family,variant,feature_set,model,seed,accuracy,auc,permutation_auc,chance,train_tasks,test_tasks
Microsoft Agent Framework,AUTHORIZATION,M1,STRUCTURAL_TIMING,LogisticRegression,2,1.0,1.0,0.5247685185185185,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,STRUCTURAL_TIMING,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE_TIMING,LogisticRegression,0,1.0,1.0,0.4895833333333333,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE_TIMING,RandomForest,0,1.0,1.0,0.49047067901234565,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE_TIMING,LogisticRegression,1,1.0,1.0,0.4961419753086419,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE_TIMING,RandomForest,1,1.0,1.0,0.4837962962962964,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE_TIMING,LogisticRegression,2,1.0,1.0,0.5148148148148148,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,SIZE_TIMING,RandomForest,2,1.0,1.0,0.5302083333333333,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,ALL,LogisticRegression,0,1.0,1.0,0.48549382716049383,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,ALL,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,ALL,LogisticRegression,1,1.0,1.0,0.49675925925925923,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,ALL,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,ALL,LogisticRegression,2,1.0,1.0,0.5131172839506173,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M1,ALL,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,LogisticRegression,0,0.5,0.49729938271604934,0.5488425925925926,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,RandomForest,0,0.5138888888888888,0.5250771604938271,0.5321759259259259,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,LogisticRegression,1,0.5,0.48726851851851855,0.5057484567901234,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,RandomForest,1,0.5277777777777778,0.5416666666666666,0.49471450617283946,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,LogisticRegression,2,0.4583333333333333,0.4521604938271605,0.499266975308642,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL,RandomForest,2,0.4861111111111111,0.5077160493827161,0.49371141975308647,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,LogisticRegression,0,0.9583333333333334,1.0,0.49849537037037034,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,LogisticRegression,1,1.0,1.0,0.48263888888888895,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,LogisticRegression,2,0.9583333333333334,1.0,0.5267361111111111,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,TIMING,LogisticRegression,0,0.9861111111111112,0.9760802469135802,0.5157407407407407,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,TIMING,RandomForest,0,0.9861111111111112,0.9984567901234569,0.5010802469135802,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,TIMING,LogisticRegression,1,0.9861111111111112,0.9922839506172839,0.47986111111111107,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,TIMING,RandomForest,1,0.9722222222222222,0.9953703703703703,0.48638117283950616,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,TIMING,LogisticRegression,2,1.0,1.0,0.5334876543209877,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,TIMING,RandomForest,2,1.0,1.0,0.5294753086419753,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_SIZE,LogisticRegression,0,0.9583333333333334,1.0,0.5127700617283951,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_SIZE,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_SIZE,LogisticRegression,1,0.9444444444444444,1.0,0.49309413580246914,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_SIZE,RandomForest,1,1.0,1.0,0.48402777777777783,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_SIZE,LogisticRegression,2,0.9583333333333334,1.0,0.527121913580247,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_SIZE,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_TIMING,LogisticRegression,0,0.9722222222222222,0.9783950617283951,0.5218364197530865,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_TIMING,RandomForest,0,0.9861111111111112,0.9984567901234569,0.5114583333333333,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_TIMING,LogisticRegression,1,0.9861111111111112,0.996141975308642,0.4809413580246914,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_TIMING,RandomForest,1,0.9722222222222222,0.9953703703703703,0.49471450617283946,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_TIMING,LogisticRegression,2,0.9861111111111112,1.0,0.5340277777777778,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,STRUCTURAL_TIMING,RandomForest,2,1.0,1.0,0.530324074074074,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE_TIMING,LogisticRegression,0,1.0,1.0,0.501929012345679,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE_TIMING,RandomForest,0,1.0,1.0,0.500925925925926,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE_TIMING,LogisticRegression,1,1.0,1.0,0.48348765432098767,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE_TIMING,RandomForest,1,1.0,1.0,0.48977623456790126,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE_TIMING,LogisticRegression,2,1.0,1.0,0.5411265432098765,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE_TIMING,RandomForest,2,1.0,1.0,0.5217592592592593,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,ALL,LogisticRegression,0,1.0,1.0,0.5124228395061728,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,ALL,RandomForest,0,1.0,1.0,0.500270061728395,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,ALL,LogisticRegression,1,1.0,1.0,0.49830246913580245,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,ALL,RandomForest,1,1.0,1.0,0.4953317901234568,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,ALL,LogisticRegression,2,0.9861111111111112,1.0,0.5375771604938272,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M2,ALL,RandomForest,2,1.0,1.0,0.5277006172839507,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,LogisticRegression,0,0.5,0.49729938271604934,0.5488425925925926,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,RandomForest,0,0.5138888888888888,0.5250771604938271,0.5321759259259259,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,LogisticRegression,1,0.5,0.48726851851851855,0.5057484567901234,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,RandomForest,1,0.5277777777777778,0.5416666666666666,0.49471450617283946,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,LogisticRegression,2,0.4583333333333333,0.4521604938271605,0.499266975308642,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL,RandomForest,2,0.4861111111111111,0.5077160493827161,0.49371141975308647,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,LogisticRegression,0,0.5,0.5,0.5,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,RandomForest,0,0.5,0.5,0.5,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,LogisticRegression,1,0.5,0.5,0.5,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,RandomForest,1,0.5,0.5,0.5,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,LogisticRegression,2,0.5,0.5,0.5,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE,RandomForest,2,0.5,0.5,0.5,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,TIMING,LogisticRegression,0,0.5,0.5,0.5,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,TIMING,RandomForest,0,0.6111111111111112,0.711033950617284,0.4969521604938271,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,TIMING,LogisticRegression,1,0.5,0.5501543209876543,0.4647376543209877,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,TIMING,RandomForest,1,0.5833333333333334,0.6604938271604938,0.4817901234567901,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,TIMING,LogisticRegression,2,0.5,0.6080246913580247,0.46967592592592594,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,TIMING,RandomForest,2,0.6527777777777778,0.7554012345679012,0.48317901234567906,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_SIZE,LogisticRegression,0,0.5,0.49729938271604934,0.5488425925925926,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_SIZE,RandomForest,0,0.5138888888888888,0.5250771604938271,0.5321759259259259,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_SIZE,LogisticRegression,1,0.5,0.48726851851851855,0.5057484567901234,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_SIZE,RandomForest,1,0.5277777777777778,0.5416666666666666,0.49471450617283946,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_SIZE,LogisticRegression,2,0.4583333333333333,0.4521604938271605,0.499266975308642,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_SIZE,RandomForest,2,0.4861111111111111,0.5077160493827161,0.49371141975308647,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_TIMING,LogisticRegression,0,0.5,0.44135802469135804,0.5522376543209877,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_TIMING,RandomForest,0,0.6666666666666666,0.7268518518518519,0.4949845679012346,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_TIMING,LogisticRegression,1,0.5,0.5046296296296297,0.4878086419753086,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_TIMING,RandomForest,1,0.5694444444444444,0.6844135802469136,0.4697530864197531,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_TIMING,LogisticRegression,2,0.4583333333333333,0.466820987654321,0.49745370370370373,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,STRUCTURAL_TIMING,RandomForest,2,0.6527777777777778,0.753858024691358,0.48171296296296295,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE_TIMING,LogisticRegression,0,0.5,0.5,0.5,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE_TIMING,RandomForest,0,0.6527777777777778,0.7087191358024691,0.4874228395061729,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE_TIMING,LogisticRegression,1,0.5694444444444444,0.5432098765432098,0.4652006172839506,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE_TIMING,RandomForest,1,0.5833333333333334,0.6759259259259258,0.47986111111111107,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE_TIMING,LogisticRegression,2,0.4861111111111111,0.5925925925925926,0.47175925925925916,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,SIZE_TIMING,RandomForest,2,0.6388888888888888,0.7692901234567902,0.48503086419753083,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,ALL,LogisticRegression,0,0.5,0.4405864197530864,0.5555555555555556,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,ALL,RandomForest,0,0.6805555555555556,0.7445987654320988,0.49467592592592585,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,ALL,LogisticRegression,1,0.5,0.503858024691358,0.48788580246913577,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,ALL,RandomForest,1,0.625,0.6944444444444444,0.47129629629629627,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,ALL,LogisticRegression,2,0.4583333333333333,0.4691358024691358,0.5,0.5,28,12
Microsoft Agent Framework,AUTHORIZATION,M3,ALL,RandomForest,2,0.6666666666666666,0.7662037037037037,0.4814043209876543,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL,LogisticRegression,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL,LogisticRegression,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL,LogisticRegression,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,STRUCTURAL,RandomForest,2,1.0,1.0,0.5222222222222223,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,SIZE,LogisticRegression,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,SIZE,RandomForest,0,1.0,1.0,0.4916666666666666,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,SIZE,LogisticRegression,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,SIZE,RandomForest,1,1.0,1.0,0.4833333333333334,0.5,28,12
Microsoft Agent Framework,PROVENANCE_HISTORY,M0,SIZE,LogisticRegression,2,1.0,1.0,0.5222222222222223,0.5,28,12
