sample_id,executor_code,event_count,request_bytes,response_bytes,wall_ns,cpu_ns,python_peak_bytes,rss_delta_bytes,thread_delta
297,1,1,1024,1024,15537200,15625000,17097,0,0
298,1,1,1024,1024,34951000,31250000,17194,0,0
299,1,1,1024,1024,3069500,0,17097,0,0
300,1,1,1024,1024,14323700,0,17145,0,0
301,1,1,1024,1024,16795100,0,16969,0,0
302,1,1,1024,1024,46065200,15625000,17066,0,0
303,1,1,1024,1024,1974800,0,16969,0,0
304,1,1,1024,1024,13547300,0,16969,0,0
305,1,1,1024,1024,47221800,15625000,17066,0,0
306,1,1,1024,1024,2982200,0,16969,0,0
307,1,1,1024,1024,12045000,0,16969,0,0
308,1,1,1024,1024,2913700,0,16969,0,0
309,1,1,1024,1024,12112300,0,16969,0,0
310,1,1,1024,1024,25878000,0,16969,0,0
311,1,1,1024,1024,18542600,15625000,16969,0,0
312,1,1,1024,1024,1543300,0,16969,0,0
313,1,1,1024,1024,2487400,0,16969,0,0
314,1,1,1024,1024,2931500,0,16969,0,0
315,1,1,1024,1024,23896500,0,16969,0,0
316,1,1,1024,1024,16567200,0,16969,0,0
317,1,1,1024,1024,15058600,0,16969,0,0
318,1,1,1024,1024,47313200,15625000,17066,0,0
319,1,1,1024,1024,22292700,0,16969,0,0
320,1,1,1024,1024,2277600,0,16969,0,0
321,1,1,1024,1024,13882800,0,16969,0,0
322,1,1,1024,1024,17222300,0,16969,0,0
323,1,1,1024,1024,14644000,0,16969,0,0
324,1,1,1024,1024,16753400,0,16969,0,0
325,1,1,1024,1024,16531100,0,16969,0,0
326,1,1,1024,1024,15800300,15625000,16969,0,0
327,1,1,1024,1024,47605400,31250000,17066,0,0
328,1,1,1024,1024,2353200,0,16969,0,0
329,1,1,1024,1024,13062700,0,16969,0,0
330,1,1,1024,1024,19775200,0,16969,0,0
331,1,1,1024,1024,34163500,15625000,17066,0,0
332,1,1,1024,1024,16931900,0,16969,0,0
333,1,1,1024,1024,47845500,31250000,17066,0,0
334,1,1,1024,1024,16612500,0,16969,0,0
335,1,1,1024,1024,34328700,31250000,17066,0,0
336,1,1,1024,1024,16575100,15625000,17033,0,0
337,1,1,1024,1024,47671800,31250000,17194,0,0
338,1,1,1024,1024,35399200,15625000,17194,0,0
339,1,1,1024,1024,49862500,15625000,17194,0,0
340,1,1,1024,1024,2256800,0,17097,0,0
341,1,1,1024,1024,2576000,0,17097,0,0
342,1,1,1024,1024,1364900,0,17097,0,0
343,1,1,1024,1024,12817400,15625000,17097,0,0
344,1,1,1024,1024,23350200,31250000,17194,0,0
345,1,1,1024,1024,23343500,15625000,17194,0,0
346,1,1,1024,1024,16752400,0,17097,0,0
347,1,1,1024,1024,1688200,0,17097,0,0
348,1,1,1024,1024,3085900,15625000,17097,0,0
349,1,1,1024,1024,12736400,0,17097,0,0
350,1,1,1024,1024,16393600,15625000,17097,0,0
351,1,1,1024,1024,1555700,0,17097,0,0
352,1,1,1024,1024,1487400,0,17097,0,0
353,1,1,1024,1024,44308800,15625000,17194,0,0
354,1,1,1024,1024,17706800,0,17097,0,0
355,1,1,1024,1024,47480400,15625000,17194,0,0
356,1,1,1024,1024,35758500,15625000,17194,0,0
357,1,1,1024,1024,1830100,0,17097,0,0
358,1,1,1024,1024,45650800,31250000,17194,0,0
359,1,1,1024,1024,1704700,0,17097,0,0
360,1,1,1024,1024,2875100,0,17097,0,0
361,1,1,1024,1024,26321200,15625000,17097,0,0
362,1,1,1024,1024,15579500,0,17145,0,0
363,1,1,1024,1024,22099900,0,16969,0,0
364,1,1,1024,1024,18997700,0,16969,0,0
365,1,1,1024,1024,24621700,15625000,17066,0,0
366,1,1,1024,1024,2486500,0,16969,0,0
367,1,1,1024,1024,24411900,15625000,17066,0,0
368,1,1,1024,1024,1407400,0,16969,0,0
369,1,1,1024,1024,10833400,0,16969,0,0
370,1,1,1024,1024,18768100,0,16969,0,0
371,1,1,1024,1024,3838400,0,16969,0,0
372,1,1,1024,1024,43890200,31250000,17066,0,0
373,1,1,1024,1024,17393700,0,16969,0,0
374,1,1,1024,1024,14409000,0,16969,0,0
375,1,1,1024,1024,32812500,31250000,17066,0,0
376,1,1,1024,1024,1708500,0,16969,0,0
377,1,1,1024,1024,16535000,15625000,16969,0,0
378,1,1,1024,1024,1673000,0,16969,0,0
379,1,1,1024,1024,31122300,15625000,17066,0,0
380,1,1,1024,1024,17758100,0,16969,0,0
381,1,1,1024,1024,15888400,0,16969,0,0
382,1,1,1024,1024,15499200,0,16969,0,0
383,1,1,1024,1024,3946500,0,16969,0,0
384,1,1,1024,1024,3437100,0,16969,0,0
385,1,1,1024,1024,26652700,0,16969,0,0
386,1,1,1024,1024,17036000,0,16969,0,0
387,1,1,1024,1024,44329500,31250000,17066,0,0
388,1,1,1024,1024,14733400,0,16969,0,0
389,1,1,1024,1024,23729600,0,16969,0,0
390,1,1,1024,1024,15742200,0,16969,0,0
391,1,1,1024,1024,2652000,0,16969,0,0
392,1,1,1024,1024,13875600,0,16969,0,0
393,1,1,1024,1024,48836200,31250000,17066,0,0
394,1,1,1024,1024,14961800,0,16969,0,0
395,1,1,1024,1024,15365800,0,16969,0,0
396,1,1,1024,1024,20713800,0,16969,0,0
397,1,1,1024,1024,16691900,0,16969,0,0
398,1,1,1024,1024,1721300,0,17033,0,0
399,1,1,1024,1024,15380200,0,17097,0,0
400,1,1,1024,1024,15613700,0,17097,0,0
401,1,1,1024,1024,15752100,0,17097,0,0
402,1,1,1024,1024,3933200,0,17097,0,0
403,1,1,1024,1024,12437800,0,17097,0,0
404,1,1,1024,1024,33548400,31250000,17194,0,0
405,1,1,1024,1024,25624800,31250000,17194,0,0
406,1,1,1024,1024,22736700,0,17097,0,0
407,1,1,1024,1024,22448900,15625000,17097,0,0
408,1,1,1024,1024,46206700,15625000,17194,0,0
409,1,1,1024,1024,17207900,0,17097,0,0
410,1,1,1024,1024,48527700,15625000,17194,0,0
411,1,1,1024,1024,16487100,0,17097,0,0
412,1,1,1024,1024,22644400,31250000,17194,0,0
413,1,1,1024,1024,22570600,15625000,17194,0,0
414,1,1,1024,1024,38485500,31250000,17194,0,0
415,1,1,1024,1024,15819800,0,17097,0,0
416,1,1,1024,1024,1681500,0,17097,0,0
417,1,1,1024,1024,47099500,31250000,17194,0,0
418,1,1,1024,1024,16182500,0,17097,0,0
