system,distribution,variant,feature,split,metric,mean,std,chance,permutation_mean,permutation_std
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F0,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F1,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F1,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F1,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F2,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F2,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F2,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F3,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F3,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F3,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,grouped_entity,accuracy,0.512008931339483,0.004202564618700843,0.5,0.5138969192902088,0.014996646390282064
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,grouped_entity,macro_f1,0.33862313457285526,0.001838763351521603,0.5,0.5138969192902088,0.014996646390282064
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,grouped_entity,roc_auc,0.5,0.0,0.5,0.5138969192902088,0.014996646390282064
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,random,accuracy,0.4740740740740741,0.012439841520874429,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,random,macro_f1,0.32156000953162645,0.005691452288403456,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F4,random,roc_auc,0.5,0.0,0.5,0.5023148148148148,0.009166199015381163
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F5,random,accuracy,0.4851851851851852,0.006928995160692484,0.5,0.5060185185185185,0.011803285911094419
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F5,random,macro_f1,0.4758934059637294,0.009713565158622353,0.5,0.5060185185185185,0.011803285911094419
GAAP-derived,balanced,UNIFIED-ORAM-PAD,F5,random,roc_auc,0.48996259229020817,0.004071957473769781,0.5,0.5060185185185185,0.011803285911094419
GAAP-derived,natural,CANONICAL-MODULAR,F0,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F0,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F0,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F1,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F1,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F1,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F2,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F2,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F2,random,roc_auc,0.5,0.0,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F3,random,accuracy,0.6898148148148149,0.010536858034019497,0.5,0.700925925925926,0.010289866097635603
GAAP-derived,natural,CANONICAL-MODULAR,F3,random,macro_f1,0.40819623678319444,0.003679156387499652,0.5,0.700925925925926,0.010289866097635603
