seed,episode_id,variant,matches_original,authorized,effect_count,attempts
0,48,ORIGINAL-MEDIATOR,True,True,1,1
0,48,PER-SERVICE-ORAM,True,True,1,1
0,48,UNIFIED-OBLIVIOUS,True,True,1,1
0,48,FIXED-CANONICAL,True,True,1,1
0,48,TRUSTED-LOCAL,True,True,1,1
0,49,ORIGINAL-MEDIATOR,True,False,0,2
0,49,PER-SERVICE-ORAM,True,False,0,2
0,49,UNIFIED-OBLIVIOUS,True,False,0,2
0,49,FIXED-CANONICAL,True,False,0,2
0,49,TRUSTED-LOCAL,True,False,0,2
0,50,ORIGINAL-MEDIATOR,True,True,1,1
0,50,PER-SERVICE-ORAM,True,True,1,1
0,50,UNIFIED-OBLIVIOUS,True,True,1,1
0,50,FIXED-CANONICAL,True,True,1,1
0,50,TRUSTED-LOCAL,True,True,1,1
0,51,ORIGINAL-MEDIATOR,True,False,0,1
0,51,PER-SERVICE-ORAM,True,False,0,1
0,51,UNIFIED-OBLIVIOUS,True,False,0,1
0,51,FIXED-CANONICAL,True,False,0,1
0,51,TRUSTED-LOCAL,True,False,0,1
0,52,ORIGINAL-MEDIATOR,True,True,1,2
0,52,PER-SERVICE-ORAM,True,True,1,2
0,52,UNIFIED-OBLIVIOUS,True,True,1,2
0,52,FIXED-CANONICAL,True,True,1,2
0,52,TRUSTED-LOCAL,True,True,1,2
0,53,ORIGINAL-MEDIATOR,True,False,0,1
0,53,PER-SERVICE-ORAM,True,False,0,1
0,53,UNIFIED-OBLIVIOUS,True,False,0,1
0,53,FIXED-CANONICAL,True,False,0,1
0,53,TRUSTED-LOCAL,True,False,0,1
0,54,ORIGINAL-MEDIATOR,True,True,1,1
0,54,PER-SERVICE-ORAM,True,True,1,1
0,54,UNIFIED-OBLIVIOUS,True,True,1,1
0,54,FIXED-CANONICAL,True,True,1,1
0,54,TRUSTED-LOCAL,True,True,1,1
0,55,ORIGINAL-MEDIATOR,True,True,1,2
0,55,PER-SERVICE-ORAM,True,True,1,2
0,55,UNIFIED-OBLIVIOUS,True,True,1,2
0,55,FIXED-CANONICAL,True,True,1,2
0,55,TRUSTED-LOCAL,True,True,1,2
0,56,ORIGINAL-MEDIATOR,True,True,1,1
0,56,PER-SERVICE-ORAM,True,True,1,1
0,56,UNIFIED-OBLIVIOUS,True,True,1,1
0,56,FIXED-CANONICAL,True,True,1,1
0,56,TRUSTED-LOCAL,True,True,1,1
0,57,ORIGINAL-MEDIATOR,True,True,1,1
0,57,PER-SERVICE-ORAM,True,True,1,1
0,57,UNIFIED-OBLIVIOUS,True,True,1,1
0,57,FIXED-CANONICAL,True,True,1,1
0,57,TRUSTED-LOCAL,True,True,1,1
0,58,ORIGINAL-MEDIATOR,True,True,1,1
0,58,PER-SERVICE-ORAM,True,True,1,1
0,58,UNIFIED-OBLIVIOUS,True,True,1,1
0,58,FIXED-CANONICAL,True,True,1,1
0,58,TRUSTED-LOCAL,True,True,1,1
0,59,ORIGINAL-MEDIATOR,True,False,0,1
0,59,PER-SERVICE-ORAM,True,False,0,1
0,59,UNIFIED-OBLIVIOUS,True,False,0,1
0,59,FIXED-CANONICAL,True,False,0,1
0,59,TRUSTED-LOCAL,True,False,0,1
0,60,ORIGINAL-MEDIATOR,True,True,1,2
0,60,PER-SERVICE-ORAM,True,True,1,2
0,60,UNIFIED-OBLIVIOUS,True,True,1,2
0,60,FIXED-CANONICAL,True,True,1,2
0,60,TRUSTED-LOCAL,True,True,1,2
0,61,ORIGINAL-MEDIATOR,True,True,1,2
0,61,PER-SERVICE-ORAM,True,True,1,2
0,61,UNIFIED-OBLIVIOUS,True,True,1,2
0,61,FIXED-CANONICAL,True,True,1,2
0,61,TRUSTED-LOCAL,True,True,1,2
0,62,ORIGINAL-MEDIATOR,True,True,1,2
0,62,PER-SERVICE-ORAM,True,True,1,2
0,62,UNIFIED-OBLIVIOUS,True,True,1,2
0,62,FIXED-CANONICAL,True,True,1,2
0,62,TRUSTED-LOCAL,True,True,1,2
0,63,ORIGINAL-MEDIATOR,True,True,1,2
0,63,PER-SERVICE-ORAM,True,True,1,2
0,63,UNIFIED-OBLIVIOUS,True,True,1,2
0,63,FIXED-CANONICAL,True,True,1,2
0,63,TRUSTED-LOCAL,True,True,1,2
0,64,ORIGINAL-MEDIATOR,True,True,1,2
0,64,PER-SERVICE-ORAM,True,True,1,2
0,64,UNIFIED-OBLIVIOUS,True,True,1,2
0,64,FIXED-CANONICAL,True,True,1,2
0,64,TRUSTED-LOCAL,True,True,1,2
0,65,ORIGINAL-MEDIATOR,True,False,0,1
0,65,PER-SERVICE-ORAM,True,False,0,1
0,65,UNIFIED-OBLIVIOUS,True,False,0,1
0,65,FIXED-CANONICAL,True,False,0,1
0,65,TRUSTED-LOCAL,True,False,0,1
0,66,ORIGINAL-MEDIATOR,True,False,0,1
0,66,PER-SERVICE-ORAM,True,False,0,1
0,66,UNIFIED-OBLIVIOUS,True,False,0,1
0,66,FIXED-CANONICAL,True,False,0,1
0,66,TRUSTED-LOCAL,True,False,0,1
0,67,ORIGINAL-MEDIATOR,True,False,0,2
0,67,PER-SERVICE-ORAM,True,False,0,2
0,67,UNIFIED-OBLIVIOUS,True,False,0,2
0,67,FIXED-CANONICAL,True,False,0,2
0,67,TRUSTED-LOCAL,True,False,0,2
0,68,ORIGINAL-MEDIATOR,True,True,1,1
0,68,PER-SERVICE-ORAM,True,True,1,1
0,68,UNIFIED-OBLIVIOUS,True,True,1,1
0,68,FIXED-CANONICAL,True,True,1,1
0,68,TRUSTED-LOCAL,True,True,1,1
0,69,ORIGINAL-MEDIATOR,True,True,1,1
0,69,PER-SERVICE-ORAM,True,True,1,1
0,69,UNIFIED-OBLIVIOUS,True,True,1,1
0,69,FIXED-CANONICAL,True,True,1,1
0,69,TRUSTED-LOCAL,True,True,1,1
0,70,ORIGINAL-MEDIATOR,True,True,1,2
0,70,PER-SERVICE-ORAM,True,True,1,2
0,70,UNIFIED-OBLIVIOUS,True,True,1,2
0,70,FIXED-CANONICAL,True,True,1,2
0,70,TRUSTED-LOCAL,True,True,1,2
0,71,ORIGINAL-MEDIATOR,True,False,0,1
0,71,PER-SERVICE-ORAM,True,False,0,1
0,71,UNIFIED-OBLIVIOUS,True,False,0,1
0,71,FIXED-CANONICAL,True,False,0,1
0,71,TRUSTED-LOCAL,True,False,0,1
