seed,analysis,secret,variant,feature_level,split,metric,value,chance,permutation
0,full_trajectory,permission_missing,PER-SERVICE-ORAM,FULL,cross_policy,roc_auc,1.0,0.5,0.4989326122764404
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,accuracy,0.47368421052631576,0.5,0.4539473684210526
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,macro_f1,0.32142857142857145,0.5,0.43819662659224046
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,roc_auc,0.31666666666666665,0.5,0.4688956442862693
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,accuracy,0.43333333333333335,0.5,0.484375
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,macro_f1,0.41714285714285715,0.5,0.4374048491901323
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,roc_auc,0.43333333333333335,0.5,0.48287601114432094
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_task,accuracy,0.5185185185185185,0.5,0.4872685185185185
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_task,macro_f1,0.34146341463414637,0.5,0.32613101959743546
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_task,roc_auc,0.5,0.5,0.5
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,grouped_entity,accuracy,0.47368421052631576,0.5,0.44901315789473684
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,grouped_entity,macro_f1,0.391025641025641,0.5,0.4225405987481027
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,grouped_entity,roc_auc,0.4666666666666667,0.5,0.4537226228632479
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_policy,accuracy,0.43333333333333335,0.5,0.4635416666666667
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_policy,macro_f1,0.41714285714285715,0.5,0.42428451325797845
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_policy,roc_auc,0.44,0.5,0.46301135063748744
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_task,accuracy,0.5185185185185185,0.5,0.5069444444444444
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_task,macro_f1,0.34146341463414637,0.5,0.4165267262317945
0,mediation_only,requires_history,UNIFIED-OBLIVIOUS,FULL,cross_task,roc_auc,0.6868131868131868,0.5,0.49219571250055316
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,accuracy,1.0,0.5,0.5462147887323944
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,macro_f1,1.0,0.5,0.5062096665723564
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,grouped_entity,roc_auc,1.0,0.5,0.5121202195243915
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,accuracy,1.0,0.5,0.5264880952380953
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,macro_f1,1.0,0.5,0.4910645383176026
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,SYMBOLIC,cross_policy,roc_auc,1.0,0.5,0.5006031876823511
0,full_trajectory,permission_missing,UNIFIED-OBLIVIOUS,FULL,grouped_entity,accuracy,1.0,0.5,0.5774647887323944
