episode,round,index,class
M0-E07,64,17,M0
M0-E07,65,17,M0
M0-E07,66,17,M0
M0-E07,67,17,M0
M0-E07,68,17,M0
M0-E07,69,17,M0
M0-E07,70,17,M0
M0-E07,71,17,M0
M0-E07,72,17,M0
M0-E07,73,17,M0
M0-E07,74,17,M0
M0-E07,75,17,M0
M0-E07,76,17,M0
M0-E07,77,17,M0
M0-E07,78,17,M0
M0-E07,79,17,M0
M0-E07,80,17,M0
M0-E07,81,17,M0
M0-E07,82,17,M0
M0-E07,83,17,M0
M0-E07,84,17,M0
M0-E07,85,17,M0
M0-E07,86,17,M0
M0-E07,87,17,M0
M0-E07,88,17,M0
M0-E07,89,17,M0
M0-E07,90,17,M0
M0-E07,91,17,M0
M0-E07,92,17,M0
M0-E07,93,17,M0
M0-E07,94,17,M0
M0-E07,95,17,M0
M0-E07,96,17,M0
M0-E07,97,17,M0
M0-E07,98,17,M0
M0-E07,99,17,M0
M0-E08,0,17,M0
M0-E08,1,17,M0
M0-E08,2,17,M0
M0-E08,3,17,M0
M0-E08,4,17,M0
M0-E08,5,17,M0
M0-E08,6,17,M0
M0-E08,7,17,M0
M0-E08,8,17,M0
M0-E08,9,17,M0
M0-E08,10,17,M0
M0-E08,11,17,M0
M0-E08,12,17,M0
M0-E08,13,17,M0
M0-E08,14,17,M0
M0-E08,15,17,M0
M0-E08,16,17,M0
M0-E08,17,17,M0
M0-E08,18,17,M0
M0-E08,19,17,M0
M0-E08,20,17,M0
M0-E08,21,17,M0
M0-E08,22,17,M0
M0-E08,23,17,M0
M0-E08,24,17,M0
M0-E08,25,17,M0
M0-E08,26,17,M0
M0-E08,27,17,M0
M0-E08,28,17,M0
M0-E08,29,17,M0
M0-E08,30,17,M0
M0-E08,31,17,M0
M0-E08,32,17,M0
M0-E08,33,17,M0
M0-E08,34,17,M0
M0-E08,35,17,M0
M0-E08,36,17,M0
M0-E08,37,17,M0
M0-E08,38,17,M0
M0-E08,39,17,M0
M0-E08,40,17,M0
M0-E08,41,17,M0
M0-E08,42,17,M0
M0-E08,43,17,M0
M0-E08,44,17,M0
M0-E08,45,17,M0
M0-E08,46,17,M0
M0-E08,47,17,M0
M0-E08,48,17,M0
M0-E08,49,17,M0
M0-E08,50,17,M0
M0-E08,51,17,M0
M0-E08,52,17,M0
M0-E08,53,17,M0
M0-E08,54,17,M0
M0-E08,55,17,M0
M0-E08,56,17,M0
M0-E08,57,17,M0
M0-E08,58,17,M0
M0-E08,59,17,M0
M0-E08,60,17,M0
M0-E08,61,17,M0
M0-E08,62,17,M0
M0-E08,63,17,M0
M0-E08,64,17,M0
M0-E08,65,17,M0
M0-E08,66,17,M0
M0-E08,67,17,M0
M0-E08,68,17,M0
M0-E08,69,17,M0
M0-E08,70,17,M0
M0-E08,71,17,M0
M0-E08,72,17,M0
M0-E08,73,17,M0
M0-E08,74,17,M0
M0-E08,75,17,M0
M0-E08,76,17,M0
M0-E08,77,17,M0
M0-E08,78,17,M0
M0-E08,79,17,M0
M0-E08,80,17,M0
M0-E08,81,17,M0
M0-E08,82,17,M0
M0-E08,83,17,M0
M0-E08,84,17,M0
M0-E08,85,17,M0
M0-E08,86,17,M0
M0-E08,87,17,M0
M0-E08,88,17,M0
M0-E08,89,17,M0
M0-E08,90,17,M0
M0-E08,91,17,M0
M0-E08,92,17,M0
M0-E08,93,17,M0
M0-E08,94,17,M0
M0-E08,95,17,M0
M0-E08,96,17,M0
M0-E08,97,17,M0
M0-E08,98,17,M0
M0-E08,99,17,M0
M0-E09,0,17,M0
M0-E09,1,17,M0
M0-E09,2,17,M0
M0-E09,3,17,M0
M0-E09,4,17,M0
M0-E09,5,17,M0
M0-E09,6,17,M0
M0-E09,7,17,M0
M0-E09,8,17,M0
M0-E09,9,17,M0
M0-E09,10,17,M0
M0-E09,11,17,M0
M0-E09,12,17,M0
M0-E09,13,17,M0
M0-E09,14,17,M0
M0-E09,15,17,M0
M0-E09,16,17,M0
M0-E09,17,17,M0
M0-E09,18,17,M0
M0-E09,19,17,M0
M0-E09,20,17,M0
M0-E09,21,17,M0
M0-E09,22,17,M0
M0-E09,23,17,M0
M0-E09,24,17,M0
M0-E09,25,17,M0
M0-E09,26,17,M0
M0-E09,27,17,M0
M0-E09,28,17,M0
M0-E09,29,17,M0
M0-E09,30,17,M0
M0-E09,31,17,M0
M0-E09,32,17,M0
M0-E09,33,17,M0
M0-E09,34,17,M0
M0-E09,35,17,M0
M0-E09,36,17,M0
M0-E09,37,17,M0
M0-E09,38,17,M0
M0-E09,39,17,M0
M0-E09,40,17,M0
M0-E09,41,17,M0
M0-E09,42,17,M0
M0-E09,43,17,M0
M0-E09,44,17,M0
M0-E09,45,17,M0
M0-E09,46,17,M0
M0-E09,47,17,M0
M0-E09,48,17,M0
M0-E09,49,17,M0
M0-E09,50,17,M0
M0-E09,51,17,M0
M0-E09,52,17,M0
M0-E09,53,17,M0
M0-E09,54,17,M0
M0-E09,55,17,M0
M0-E09,56,17,M0
M0-E09,57,17,M0
M0-E09,58,17,M0
M0-E09,59,17,M0
M0-E09,60,17,M0
M0-E09,61,17,M0
M0-E09,62,17,M0
M0-E09,63,17,M0
M0-E09,64,17,M0
M0-E09,65,17,M0
M0-E09,66,17,M0
M0-E09,67,17,M0
M0-E09,68,17,M0
M0-E09,69,17,M0
M0-E09,70,17,M0
M0-E09,71,17,M0
M0-E09,72,17,M0
M0-E09,73,17,M0
M0-E09,74,17,M0
M0-E09,75,17,M0
M0-E09,76,17,M0
M0-E09,77,17,M0
M0-E09,78,17,M0
M0-E09,79,17,M0
M0-E09,80,17,M0
M0-E09,81,17,M0
M0-E09,82,17,M0
M0-E09,83,17,M0
M0-E09,84,17,M0
M0-E09,85,17,M0
M0-E09,86,17,M0
M0-E09,87,17,M0
M0-E09,88,17,M0
M0-E09,89,17,M0
M0-E09,90,17,M0
M0-E09,91,17,M0
M0-E09,92,17,M0
M0-E09,93,17,M0
M0-E09,94,17,M0
M0-E09,95,17,M0
M0-E09,96,17,M0
M0-E09,97,17,M0
M0-E09,98,17,M0
M0-E09,99,17,M0
M0-E10,0,17,M0
M0-E10,1,17,M0
M0-E10,2,17,M0
M0-E10,3,17,M0
M0-E10,4,17,M0
M0-E10,5,17,M0
M0-E10,6,17,M0
M0-E10,7,17,M0
M0-E10,8,17,M0
M0-E10,9,17,M0
M0-E10,10,17,M0
M0-E10,11,17,M0
M0-E10,12,17,M0
M0-E10,13,17,M0
M0-E10,14,17,M0
M0-E10,15,17,M0
M0-E10,16,17,M0
M0-E10,17,17,M0
M0-E10,18,17,M0
M0-E10,19,17,M0
M0-E10,20,17,M0
M0-E10,21,17,M0
M0-E10,22,17,M0
M0-E10,23,17,M0
M0-E10,24,17,M0
M0-E10,25,17,M0
M0-E10,26,17,M0
M0-E10,27,17,M0
M0-E10,28,17,M0
M0-E10,29,17,M0
M0-E10,30,17,M0
M0-E10,31,17,M0
M0-E10,32,17,M0
M0-E10,33,17,M0
M0-E10,34,17,M0
M0-E10,35,17,M0
M0-E10,36,17,M0
M0-E10,37,17,M0
M0-E10,38,17,M0
M0-E10,39,17,M0
M0-E10,40,17,M0
M0-E10,41,17,M0
M0-E10,42,17,M0
M0-E10,43,17,M0
M0-E10,44,17,M0
M0-E10,45,17,M0
M0-E10,46,17,M0
M0-E10,47,17,M0
M0-E10,48,17,M0
M0-E10,49,17,M0
M0-E10,50,17,M0
M0-E10,51,17,M0
M0-E10,52,17,M0
M0-E10,53,17,M0
M0-E10,54,17,M0
M0-E10,55,17,M0
M0-E10,56,17,M0
M0-E10,57,17,M0
M0-E10,58,17,M0
M0-E10,59,17,M0
M0-E10,60,17,M0
M0-E10,61,17,M0
M0-E10,62,17,M0
