run_id,framework,workload,configuration,repetition,execution_order,start_monotonic_ns,semantic_completion_monotonic_ns,task_latency_ms,semantic_success,failure_category,expected_result_count,observed_result_count,real_agent_executions,framework_model_invocations,framework_agent_as_tool_invocations,apsi_operations,simplepir_operations,gateway_public_sessions,cover_schedule_slots,retry_count
V15E-NATIVE-086,Microsoft Agent Framework,PROVISIONED_ORDINARY,NATIVE,9,6,25370407479569802,25370407480079567,0.509765,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-087,Microsoft Agent Framework,UNPROVISIONED_ORDINARY,NATIVE,9,7,25370407480092607,25370407480498460,0.405853,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-088,Microsoft Agent Framework,NESTED_AGENT_AS_TOOL,NATIVE,9,8,25370407480509776,25370407481795408,1.285632,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-089,Microsoft Agent Framework,REPEATED_AGENT,NATIVE,9,9,25370407481810776,25370407482990430,1.179654,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-090,Microsoft Agent Framework,MIXED_AGENT_LLM_TOOL,NATIVE,9,10,25370407483001568,25370407484803248,1.80168,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-091,Microsoft Agent Framework,MIXED_AGENT_LLM_TOOL,NATIVE,10,1,25370407484822185,25370407486458105,1.63592,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-092,Microsoft Agent Framework,REPEATED_AGENT,NATIVE,10,2,25370407486472295,25370407487616259,1.143964,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-093,Microsoft Agent Framework,NESTED_AGENT_AS_TOOL,NATIVE,10,3,25370407487627301,25370407488880814,1.253513,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-094,Microsoft Agent Framework,UNPROVISIONED_ORDINARY,NATIVE,10,4,25370407488896598,25370407489309342,0.412744,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-095,Microsoft Agent Framework,PROVISIONED_ORDINARY,NATIVE,10,5,25370407489320780,25370407489703707,0.382927,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-096,OpenAI Agents SDK,MIXED_AGENT_LLM_TOOL,NATIVE,10,6,25370407489714316,25370407496670719,6.956403,True,,2,2,3,4,1,0,0,0,0,0
V15E-NATIVE-097,OpenAI Agents SDK,REPEATED_AGENT,NATIVE,10,7,25370407496689404,25370407501528204,4.8388,True,,3,3,3,3,0,0,0,0,0,0
V15E-NATIVE-098,OpenAI Agents SDK,NESTED_AGENT_AS_TOOL,NATIVE,10,8,25370407501545512,25370407506788909,5.243397,True,,1,1,2,3,1,0,0,0,0,0
V15E-NATIVE-099,OpenAI Agents SDK,UNPROVISIONED_ORDINARY,NATIVE,10,9,25370407506807132,25370407508465395,1.658263,True,,1,1,1,1,0,0,0,0,0,0
V15E-NATIVE-100,OpenAI Agents SDK,PROVISIONED_ORDINARY,NATIVE,10,10,25370407508481422,25370407510134010,1.652588,True,,1,1,1,1,0,0,0,0,0,0
