admitted_real_agent_accesses,agent_access_bytes,agent_loader_failures,dummy_heavy_agent_executions,dummy_heavy_llm_executions,dummy_heavy_tool_executions,dummy_pir_queries,dummy_psi_queries,first_agent_retrieval_latency_ms,framework,framework_agent_as_tool_invocations,framework_model_invocations,gateway_bytes,gateway_public_sessions,gateway_relay_cells,overflow_count,profile_capacity_failures,profile_conformance,public_profile_instances,public_session_wall_ms,real_agent_executions,real_external_tool_api_calls,real_pir_queries,real_psi_queries,real_remote_llm_calls,repetition,retrieval_count,retrieval_failures,retrieval_latencies_ms_json,run_id,scheduled_agent_access_slots,semantic_applicable,semantic_success,silent_loss_count,source_campaign,task_latency_ms,total_agent_resolution_latency_ms,total_public_bytes,workload
0,9405600,0,0,0,0,4,4,,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7084.426135,0,0,0,0,0,3,0,0,[],V15C-030-OPENAI-IDLE_PROFILE_ONLY-R3,4,False,,0,V15D_P0_CORE,1181.854889,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,485.099853,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7055.254544,1,0,1,1,0,3,1,0,[485.099853],V15C-031-MICROSOFT-PROVISIONED_ORDINARY-R3,4,True,True,0,V15D_P0_CORE,1157.467422,485.099853,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7266.512668,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7266.512668,1,0,0,1,0,3,1,0,[7266.512668],V15C-032-MICROSOFT-UNPROVISIONED_ORDINARY-R3,4,True,True,0,V15D_P0_CORE,7269.109369,7266.512668,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,435.819244,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7024.841145,2,0,2,2,0,3,2,0,"[435.819244, 707.093437]",V15C-033-MICROSOFT-NESTED_AGENT_AS_TOOL-R3,4,True,True,0,V15D_P0_CORE,1144.972528,1142.912681,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,471.053994,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7082.089222,3,0,3,3,0,3,3,0,"[471.053994, 832.564007, 1158.716072]",V15C-034-MICROSOFT-REPEATED_AGENT-R3,4,True,True,0,V15D_P0_CORE,1164.709044,2462.334073,10384559,REPEATED_AGENT
0,9405600,0,0,0,0,4,4,,Microsoft Agent Framework,,,978959,1,521,0,0,True,1,7133.510041,0,0,0,0,0,3,0,0,[],V15C-036-MICROSOFT-IDLE_PROFILE_ONLY-R3,4,False,,0,V15D_P0_CORE,1219.177339,,10384559,IDLE_PROFILE_ONLY
1,9405600,0,0,0,0,3,3,507.723451,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7094.204874,1,0,1,1,0,4,1,0,[507.723451],V15C-037-OPENAI-PROVISIONED_ORDINARY-R4,4,True,True,0,V15D_P0_CORE,1194.779529,507.723451,10384559,PROVISIONED_ORDINARY
1,9405600,0,0,0,0,4,3,7231.785827,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7231.785827,1,0,0,1,0,4,1,0,[7231.785827],V15C-038-OPENAI-UNPROVISIONED_ORDINARY-R4,4,True,True,0,V15D_P0_CORE,7239.06545,7231.785827,10384559,UNPROVISIONED_ORDINARY
2,9405600,0,0,0,0,2,2,464.117304,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7038.769903,2,0,2,2,0,4,2,0,"[464.117304, 707.766101]",V15C-039-OPENAI-NESTED_AGENT_AS_TOOL-R4,4,True,True,0,V15D_P0_CORE,1178.324055,1171.883405,10384559,PROVISIONED_NESTED_AGENT_AS_TOOL
3,9405600,0,0,0,0,1,1,449.148523,OpenAI Agents SDK,,,978959,1,521,0,0,True,1,7031.870609,3,0,3,3,0,4,3,0,"[449.148523, 802.822641, 1151.315016]",V15C-040-OPENAI-REPEATED_AGENT-R4,4,True,True,0,V15D_P0_CORE,1162.43079,2403.28618,10384559,REPEATED_AGENT
