baseline,dimension,arm_a_functional,arm_b_functional,full_public_structural_projection_equal,size_projection_equal,request_count_equal,response_count_equal,scheduled_lifetime_equal,endpoint_connection_view_equal,evidence_class
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P5_REPETITION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P6_FREQUENCY_SKEW,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P7_RARE_TARGET,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P8_TRANSITION_ORDER,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P9_PRIVATE_ARGUMENT_SIZE,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P10_PROVIDER_READINESS,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P11_INTERNAL_EXTERNAL,True,True,False,False,False,False,False,False,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P12_CAUSAL_DEPTH,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P13_AGENT_SERVICE_SUBTYPE,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B4_PIR_PLUS_FIXED_TRANSCRIPT_EXTERNAL,P14_DYNAMIC_PRIVATE_RESOLUTION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P1_AGENT_IDENTITY,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P2_TOOL_ROUTE_IDENTITY,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P3_ACTION_KIND,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P4_ACTUAL_ACTION_COUNT,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P5_REPETITION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P6_FREQUENCY_SKEW,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P7_RARE_TARGET,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P8_TRANSITION_ORDER,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P9_PRIVATE_ARGUMENT_SIZE,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P10_PROVIDER_READINESS,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P11_INTERNAL_EXTERNAL,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P12_CAUSAL_DEPTH,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P13_AGENT_SERVICE_SUBTYPE,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
B5_FULL_STRICT,P14_DYNAMIC_PRIVATE_RESOLUTION,True,True,True,True,True,True,True,True,ACTUAL_DEV_EXECUTION_PUBLIC_PROJECTION
