runtime,family,variant,feature_set,model,mean_auc,ci_low,ci_high,permutation_baseline,permutation_p_value,episodes,tasks,split
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,LogisticRegression,0.5,0.5,0.5,0.5,1.0,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,LogisticRegression,0.5,0.5,0.5,0.5,1.0,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,RandomForest,0.5,0.5,0.5,0.5,1.0,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,SIZE,RandomForest,0.5,0.5,0.5,0.5,1.0,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,ALL_OBSERVER,LogisticRegression,0.9418402777777778,0.9001302083333333,0.9828233506944444,0.5062934027777777,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,ALL_OBSERVER,LogisticRegression,0.83984375,0.6650390625,0.95615234375,0.501171875,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M2,ALL_OBSERVER,RandomForest,0.9446614583333333,0.8872287326388889,0.9872504340277778,0.5076519097222222,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M2,ALL_OBSERVER,RandomForest,1.0,1.0,1.0,0.525859375,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,READY_TIME,LogisticRegression,1.0,0.9999999999999999,1.0,0.5219270833333334,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,READY_TIME,LogisticRegression,1.0,1.0,1.0,0.518515625,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,READY_TIME,RandomForest,1.0,0.9999999999999999,1.0,0.5170355902777777,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,READY_TIME,RandomForest,1.0,1.0,1.0,0.507890625,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,QUEUE_DELAY,LogisticRegression,1.0,0.9999999999999999,1.0,0.5176866319444444,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,QUEUE_DELAY,LogisticRegression,1.0,1.0,1.0,0.5154296875,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,QUEUE_DELAY,RandomForest,1.0,0.9999999999999999,1.0,0.5141015625,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,QUEUE_DELAY,RandomForest,1.0,1.0,1.0,0.5101171875,0.0196078431372549,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,RELEASE_SLIP,LogisticRegression,0.5162760416666667,0.41958550347222223,0.5879448784722222,0.4995616319444444,0.35294117647058826,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,RELEASE_SLIP,LogisticRegression,0.625,0.48046875,0.840234375,0.484296875,0.17647058823529413,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,RELEASE_SLIP,RandomForest,0.4038628472222222,0.2828016493055555,0.5529405381944444,0.5047005208333334,0.9607843137254902,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,RELEASE_SLIP,RandomForest,0.3984375,0.18759765625,0.66396484375,0.45390625,0.6666666666666666,32,16,WITHIN_TASK_REPETITION_HOLDOUT
Microsoft Agent Framework,AUTHORIZATION,M3,RELEASE_TO_SEND,LogisticRegression,0.611111111111111,0.5183919270833333,0.7134874131944444,0.5000390625000001,0.0196078431372549,96,16,GROUPED_TASK_4FOLD
Microsoft Agent Framework,AUTHORIZATION,M3,RELEASE_TO_SEND,LogisticRegression,0.630859375,0.440185546875,0.8296874999999999,0.49328125,0.13725490196078433,32,16,WITHIN_TASK_REPETITION_HOLDOUT
