framework,pinned_commit,relative_path,bytes,discovered_materialized_python_file,included_ir_v1,inclusion_rule,exclusion_reason
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/memory_session_hitl_example.py,3900,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/mongodb_session_example.py,2327,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/openai_session_example.py,2393,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/openai_session_hitl_example.py,3831,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/redis_session_example.py,6002,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/sqlalchemy_session_example.py,2511,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/sqlite_session_example.py,2364,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/any_llm_auto.py,1220,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/any_llm_provider.py,1760,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/custom_example_agent.py,1845,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/custom_example_global.py,1769,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/custom_example_provider.py,2269,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/litellm_auto.py,1362,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/litellm_provider.py,1924,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/app/agent.py,3984,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/app/server.py,24546,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/cli/demo.py,16292,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio/__init__.py,0,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio/server.py,2305,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio/twilio_handler.py,11289,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio_sip/__init__.py,43,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio_sip/agents.py,3361,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio_sip/server.py,8015,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/reasoning_content/__init__.py,81,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/reasoning_content/gpt_oss_stream.py,1474,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/reasoning_content/main.py,4968,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/reasoning_content/runner_example.py,3410,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/__init__.py,1,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/__init__.py,0,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/planner_agent.py,846,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/search_agent.py,708,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/agents/writer_agent.py,1207,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/main.py,361,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/manager.py,4914,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/research_bot/printer.py,1320,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/run_examples.py,29027,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/__init__.py,73,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/basic.py,8668,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/__init__.py,36,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/docker_runner.py,6952,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/mounts/__init__.py,36,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/mounts/azure_mount_read_write.py,1472,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/mounts/gcs_mount_read_write.py,1850,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/mounts/mount_smoke.py,4732,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docker/mounts/s3_mount_read_write.py,1438,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docs/__init__.py,59,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/docs/coding_task.py,9383,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/__init__.py,63,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/blaxel_runner.py,15732,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/cloudflare_runner.py,15832,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/daytona/__init__.py,42,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/daytona/daytona_runner.py,7116,YES,YES,PINNED_EXAMPLE_ROOT,
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/daytona/usaspending_text2sql/__init__.py,55,YES,YES,PINNED_EXAMPLE_ROOT,
