source,case,runner_processes,preconnects,public_sessions,client_relay_connections,relay_gateway_connections,rounds,passed
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:6,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:7,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:8,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:9,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:10,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:11,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:12,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:13,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:14,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:15,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:16,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:17,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:18,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:19,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:20,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:21,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:22,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:23,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:24,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:25,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:26,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:27,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:28,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:29,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:30,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:31,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:32,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:33,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:34,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:35,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:36,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:37,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:38,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:39,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:40,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:41,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:42,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:43,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:44,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:45,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:46,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:47,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:48,1,1,1,1,1,111,True
STRESS,MICROSOFT_TOOL_TO_AGENT_AS_TOOL:49,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:0,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:1,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:2,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:3,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:4,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:5,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:6,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:7,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:8,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:9,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:10,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:11,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:12,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:13,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:14,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:15,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:16,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:17,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:18,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:19,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:20,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:21,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:22,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:23,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:24,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:25,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:26,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:27,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:28,1,1,1,1,1,111,True
STRESS,DYNAMIC_5_ACTION:29,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:0,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:1,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:2,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:3,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:4,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:5,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:6,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:7,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:8,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:9,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:10,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:11,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:12,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:13,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:14,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:15,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:16,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:17,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:18,1,1,1,1,1,111,True
STRESS,DYNAMIC_10_ACTION:19,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:0,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:1,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:2,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:3,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:4,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:5,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:6,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:7,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:8,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:9,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:10,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:11,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:12,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:13,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:14,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:15,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:16,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:17,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:18,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:19,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:20,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:21,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:22,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:23,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:24,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:25,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:26,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:27,1,1,1,1,1,111,True
STRESS,INTERNAL_EXTERNAL_MIX:28,1,1,1,1,1,111,True
