framework,pinned_commit,relative_path,bytes,parse_error,agent_constructors,workflow_instances,tool_instances,handoff_edges,conditional_edges,loops,fanout_fanin,agents_as_tools,dynamic_instructions,guardrails,state_memory,hitl_resume,middleware,mcp_tool_invocation,nested_subagent_patterns
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/manager_example/app.py,3918,,1,0,0,0,4,0,0,0,0,0,0,0,0,4,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/manager_example/mcp_server.py,531,,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/manager_example/smoke_test.py,4662,,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/prompt_server/main.py,4396,,1,0,0,0,2,0,1,0,1,0,0,0,0,3,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/prompt_server/server.py,1496,,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/sse_example/main.py,3376,,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/sse_example/server.py,1172,,0,0,6,0,1,0,0,0,0,0,0,0,0,5,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/sse_remote_example/main.py,3032,,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamable_http_remote_example/main.py,1279,,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_custom_client_example/main.py,4869,,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_custom_client_example/server.py,691,,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_example/main.py,3685,,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_example/server.py,1227,,0,0,6,0,1,0,0,0,0,0,0,0,0,5,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/tool_filter_example/main.py,2832,,1,0,0,0,2,2,2,0,0,0,2,1,0,2,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/advanced_sqlite_session_example.py,10634,,1,0,2,0,3,1,0,0,0,0,26,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/compaction_session_example.py,2974,,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/compaction_session_stateless_example.py,2810,,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/dapr_session_example.py,23447,,2,0,0,0,8,1,0,0,0,0,32,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/encrypted_session_example.py,3802,,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/file_hitl_example.py,5790,,1,0,3,0,5,5,0,0,1,0,14,5,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/file_session.py,4980,,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/hitl_session_scenario.py,13496,,1,0,6,0,19,2,3,0,0,0,15,4,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/memory_session_hitl_example.py,3900,,1,0,3,0,3,3,0,0,0,0,4,3,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/mongodb_session_example.py,2327,,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/openai_session_example.py,2393,,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/openai_session_hitl_example.py,3831,,1,0,3,0,3,3,0,0,0,0,4,3,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/redis_session_example.py,6002,,2,0,0,0,3,0,0,0,0,0,16,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/sqlalchemy_session_example.py,2511,,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/sqlite_session_example.py,2364,,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/any_llm_auto.py,1220,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/any_llm_provider.py,1760,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/custom_example_agent.py,1845,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/custom_example_global.py,1769,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/custom_example_provider.py,2269,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/litellm_auto.py,1362,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/litellm_provider.py,1924,,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/app/agent.py,3984,,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/app/server.py,24546,,0,0,0,0,36,1,1,0,0,0,14,4,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/cli/demo.py,16292,,0,0,1,0,16,1,0,0,0,0,2,0,0,0,0
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/twilio/__init__.py,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
