candidate_id,framework,pinned_commit,source_path,source_sha256,source_line,source_detail,frozen_corpus_disposition,adapter_id,effect_semantics,scenario,effect_contract_origin,external_network_required,public_profile_id,argument_schema,arguments,eligible
S1U-829a9e08b24c1394,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/misc/reference_policy_mcp_server.py,97ce68ebf333e73a5bf2fdc8f1aedabd73d1195be3858bbf1149933513c9350c,7,get_policy_reference,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""topic"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""topic"": ""v11a-b24c1394-0""}",True
S1U-83a5deee794abb4b,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,426,lookup_work_items,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""query"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""query"": ""v11a-794abb4b-0""}",True
S1U-8c753270deb2835f,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop_stream.py,c7471edb486085de7679e9799685b28f8093f74566cd46d017c38964f2f6da17,30,get_temperature,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""city"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""city"": ""v11a-deb2835f-0""}",True
S1U-9323a376c0338a04,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/lifecycle_example.py,47faff578b13d697b1fc9b2706292cb156b24ced2bfe7f29302fd3d71b981b5b,122,multiply_by_two,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT""}","{""x"": 7}",True
S1U-95a9ae988c25c76a,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1168,dangerous_tool,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""value"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""value"": ""v11a-8c25c76a-0""}",True
S1U-9c57cb8b1ef4f39e,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,994,budgeted_tool,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""value"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""value"": ""v11a-1ef4f39e-0""}",True
S1U-a15ce2ac47d2ee04,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/memory_session_hitl_example.py,6e7df1dae6329917474e2fc05bae0db6a00c7967e4b25383d6f58fccd83dc7ae,26,get_weather,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""location"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""location"": ""v11a-47d2ee04-0""}",True
S1U-a4d35482e76c5d79,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/lifecycle_example.py,47faff578b13d697b1fc9b2706292cb156b24ced2bfe7f29302fd3d71b981b5b,116,random_number,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""max"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT""}","{""max"": 7}",True
S1U-b012d26f4c8383d5,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/tool_guardrails.py,4d70ca04e73201a94615eadefb5af89083214bf444ce559bdac8202b8cc5b7b9,20,send_email,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""to"", ""primitive_type"": ""str""}, {""name"": ""subject"", ""primitive_type"": ""str""}, {""name"": ""body"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR_STR_STR""}","{""body"": ""v11a-4c8383d5-2"", ""subject"": ""v11a-4c8383d5-1"", ""to"": ""v11a-4c8383d5-0""}",True
S1U-b6c984692b4e0c96,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/agent_lifecycle_example.py,02fbe5380aecb3ad1295f8fda54f3d76731e82fa11a529cee491c67cd435d57a,66,random_number,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""max"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT""}","{""max"": 7}",True
S1U-b6fdc85859ae4137,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,330,async_test_tool,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}, {""name"": ""y"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""x"": 7, ""y"": 8}",True
S1U-bbf2cd85d84fb932,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/openai_session_hitl_example.py,d009f248b0d7a21a9f5f20ed78f96dcca4f5e8bef89d061f86a289f9d59841af,26,get_weather,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""location"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""location"": ""v11a-d84fb932-0""}",True
S1U-c4a76e14895edf19,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,709,pydantic_test_tool,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}, {""name"": ""y"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""x"": 7, ""y"": 8}",True
S1U-c4d77c88c1fa80aa,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,280,calculate,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""a"", ""primitive_type"": ""int""}, {""name"": ""b"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""a"": 7, ""b"": 8}",True
S1U-c7be5b270e4cc53b,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/extensions/runloop/capabilities.py,ebc73fad9b1edbbf7d1491a99ae3f05d4199178d56ab4d29809cee7aea8fba77,524,query_runloop_network_policy,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""name"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""name"": ""v11a-0e4cc53b-0""}",True
S1U-c87fc440f928c31a,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/hitl_session_scenario.py,61c93cc9550272ec346ce31db225718f50755d969f22c83808f3d7c461eae380,53,approval_echo,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""query"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""query"": ""v11a-f928c31a-0""}",True
S1U-c90c5c1a99fd3de1,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,1501,adder,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}, {""name"": ""y"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""x"": 7, ""y"": 8}",True
S1U-cc67a73ebcfb7745,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/memory/hitl_session_scenario.py,61c93cc9550272ec346ce31db225718f50755d969f22c83808f3d7c461eae380,63,approval_note,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""query"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""query"": ""v11a-bcfb7745-0""}",True
S1U-d2d8769e58be8c76,OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/realtime/app/agent.py,0a1eee26db8565a103537c1573b1237508856eea861b8293334208fa2a02f9b4,38,update_seat,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""confirmation_number"", ""primitive_type"": ""str""}, {""name"": ""new_seat"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR_STR""}","{""confirmation_number"": ""v11a-58be8c76-0"", ""new_seat"": ""v11a-58be8c76-1""}",True
S1U-d3f7ecd312a2f0ba,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/conftest.py,865362301177431f666d8dde0754e751033bcc8529a1c66a60660cbee4320312,100,simple_function,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""x"", ""primitive_type"": ""int""}, {""name"": ""y"", ""primitive_type"": ""int""}], ""schema_id"": ""SOURCE_INT_INT""}","{""x"": 7, ""y"": 8}",True
S1U-d4b6b20fd03919dc,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/workflow/test_agent_executor_tool_calls.py,9ec695c3005323ea6b7afb9a5f9b6dffeb2b6d44a52f1873cf087df62a402238,159,mock_tool_requiring_approval,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""query"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""query"": ""v11a-d03919dc-0""}",True
S1U-d6ed69a023f66db8,Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,1375,optional_args_tool,MEDIATED,V11A_GENERIC_BOUNDED_TOOL_ADAPTER,READ_ONLY,SUCCESS,SYNTHETIC_CONFIRMATORY_CONTRACT,False,V11_4-STRICT-ONLINE-H50-H3000-P10,"{""fields"": [{""name"": ""value"", ""primitive_type"": ""str""}], ""schema_id"": ""SOURCE_STR""}","{""value"": ""v11a-23f66db8-0""}",True
